일자,기온(°C),습도(%rh),체감온도(°C)
2004-01-01,2.8,11.9,-0.4
2004-01-02,3.4,11.5,0.4
2004-01-03,1.3,11.5,-2.1
2004-01-04,3.9,21.2,-0.5
2004-01-05,2.6,5.8,1
2004-01-06,4.7,10.8,2.1
2004-01-07,4,16.2,0.3
2004-01-08,1.8,18.7,-2.8
2004-01-09,3,6.1,1.4
2004-01-10,1.8,16.6,-2.5
2004-01-11,2.7,16.9,-1.4
2004-01-12,3.3,28.8,-2.1
2004-01-13,-1.4,37.4,-9
2004-01-14,-2.9,23,-9.4
2004-01-15,-1.4,17.3,-6.6
2004-01-16,3,18,-1.2
2004-01-17,4.1,20.2,-0.1
2004-01-18,1.9,14.4,-2
2004-01-19,0.5,26.6,-5.5
2004-01-20,-0.8,12.6,-4.9
2004-01-21,-9.7,15.8,-16.6
2004-01-22,-10.1,19.1,-17.8
2004-01-23,-6.7,24.8,-14.5
2004-01-24,-3.8,32,-11.7
2004-01-25,-4.3,20.5,-10.8
2004-01-26,-4.8,27,-12.4
2004-01-27,-2.7,15.8,-7.9
2004-01-28,-2.8,15.8,-8
2004-01-29,0,25.6,-6
2004-01-30,1.4,16.6,-3
2004-02-01,4.8,7.9,2.9
2004-02-02,0,8.6,-2.9
2004-02-03,-2.4,16.2,-7.6
2004-02-04,-3.5,8.6,-7.1
2004-02-05,-1.4,25.6,-7.8
2004-02-06,-4.8,14.4,-10.2
2004-02-07,-1.9,28.4,-8.8
2004-02-08,-2.2,16.9,-7.5
2004-02-09,0,16.9,-4.8
2004-02-10,1.9,16.2,-2.3
2004-02-11,4.2,22.7,-0.3
2004-02-12,3.4,13.7,0
2004-02-13,4.7,11.5,2
2004-02-14,2.5,35.3,-3.7
2004-02-15,2.4,34.9,-3.8
2004-02-16,3.8,13,0.6
2004-02-17,7.4,24.5,3.6
2004-02-18,5.2,22.7,1
2004-02-19,8.8,20.2,5.8
2004-02-20,7.9,12.2,5.7
2004-02-22,4.7,33.8,-0.7
2004-02-23,2.2,26.6,-3.3
2004-02-24,4.7,18,0.9
2004-02-25,5.7,16.2,2.4
2004-02-26,3.2,22.3,-1.5
2004-02-27,1.9,11.5,-1.4
2004-02-28,4.5,19.1,0.5
2004-03-01,4.6,17.3,0.9
2004-03-02,0.9,32.8,-5.6
2004-03-03,-2,15.5,-7
2004-03-04,-3,18.4,-8.8
2004-03-05,2.3,18,-2.1
2004-03-06,-2.7,22.3,-9
2004-03-07,-4.4,15.8,-10
2004-03-08,-0.3,19.8,-5.6
2004-03-09,4.5,19.1,0.5
2004-03-10,9.9,17.3,7.5
2004-03-11,9.2,17.6,6.6
2004-03-12,7.2,18.4,4
2004-03-13,7.1,11.9,4.8
2004-03-14,8.1,10.8,6.2
2004-03-15,6,10.1,3.8
2004-03-16,9.7,13,7.8
2004-03-17,5.7,25.2,1.4
2004-03-18,2.9,19.4,-1.5
2004-03-19,2.1,13.7,-1.6
2004-03-20,7.4,13,5
2004-03-21,7.4,23.8,3.7
2004-03-22,4.7,25.6,0.1
2004-03-23,6,10.1,3.8
2004-03-24,8.8,10.1,7.2
2004-03-25,8.4,15.1,5.9
2004-03-26,5.7,15.1,2.6
2004-03-27,7.3,4.7,6.8
2004-03-28,8.8,11.5,6.9
2004-04-01,8,13,5.7
2004-04-02,7.2,27.4,3.1
2004-04-03,6.6,16.6,3.5
2004-04-04,5,16.6,1.5
2004-04-05,6.6,9.4,4.7
2004-04-06,8.1,12.2,6
2004-04-07,9.5,11.2,7.8
2004-04-08,7.1,22,3.5
2004-04-09,9.7,15.8,7.4
2004-04-14,9.2,15.8,6.8
2004-04-24,9.5,14.8,7.3
